Country,TotalLength,Transparency,Justice & fairness,Non-maleficence,Responsibility,Privacy,Beneficence,Freedom & autonomy,Trust,Sustainability,Dignity,Solidarity
USA,12282,134,148,104,45,16,20,6,17,91,0,0
Australia,9703,28,50,36,8,3,12,4,18,44,0,0
Sweden,1697,3,14,22,8,2,14,0,2,14,0,0
China,8093,32,26,116,59,6,1,1,1,82,0,1
Russia,3776,13,35,26,11,0,1,2,1,15,0,0
Estonia,12304,47,42,28,55,0,0,8,0,45,2,0
CzechRepublic,8983,38,39,75,34,6,4,0,3,23,0,2
Denmark,10263,61,138,58,54,2,20,4,5,96,3,9
UK,6132,17,82,14,10,0,0,1,9,23,0,0
Italy,10934,92,184,67,52,13,19,9,7,32,0,1
Singapore,7746,39,57,51,27,2,20,0,20,37,0,0
India,24663,61,244,102,71,54,23,21,11,124,0,0
Lithuania,3283,21,28,21,12,1,11,2,3,25,0,0
Norway,14235,105,175,141,67,26,15,24,13,86,1,2
Japan,2561,16,16,17,5,4,2,0,0,33,0,1
Malta,12016,42,98,45,25,3,20,8,15,58,0,0
Finland,21139,98,110,115,56,18,18,31,36,95,0,2
Canada,2031,17,38,13,15,4,6,1,6,9,0,0
Germany,13995,61,112,147,63,12,20,15,10,67,0,3
Austria,6311,28,38,50,41,3,4,11,3,34,2,3
Serbia,12732,34,106,82,58,3,10,3,5,45,0,0
France,36969,117,485,130,141,8,48,49,4,277,0,6
Portugal,7231,53,75,34,19,7,9,3,1,74,4,0
Spain,8625,32,78,36,27,3,10,2,0,77,0,0
Luxembourg,2956,10,24,16,11,5,6,1,3,16,0,0
